Country Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
JPN,3,3,3,0,12,11,10,17,15,15,16,26,36,54,50,60
KAZ,0,0,0,8,7,10,8,14,14,18,17,25,0,0,25,42
KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
KGZ,0,0,0,0,0,0,0,0,0,17,16,0,0,0,0,32
KHM,0,0,100,100,43,45,27,35,25,22,18,25,0,0,26,30
KIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KNA,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
KOR,100,100,18,73,100,85,51,68,52,0,23,52,79,80,56,72
KWT,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,31
LAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
LBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22
LSO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTU,0,0,0,0,3,4,4,9,12,16,0,0,0,0,0,0
LUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,0,0,0,1,1,3,4,10,12,11,11,20,0,0,26,23
MCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDV,0,0,0,0,0,0,45,83,69,75,64,96,100,100,85,97
MEX,0,0,0,5,4,6,6,0,12,0,0,24,0,38,0,0
MHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MKD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR,0,0,0,0,0,100,100,0,0,0,58,0,0,0,65,61
MNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNG,0,0,0,35,33,46,39,60,42,56,55,0,0,0,0,91
MOZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MWI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYS,5,9,10,48,41,51,0,0,0,0,0,0,0,0,0,0
NAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIC,0,0,0,0,0,0,0,21,24,25,28,51,0,0,46,51
NLD,0,0,0,1,2,3,3,7,8,11,13,24,0,0,26,32
NOR,0,0,0,2,4,5,5,13,14,17,20,0,0,0,0,97
NPL,0,0,0,0,0,0,0,0,12,19,14,0,0,0,24,25
NRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZL,0,0,3,8,9,10,11,0,0,0,0,0,0,0,0,0
OMN,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,43
PAK,0,0,0,0,0,0,0,0,2,3,0,7,0,0,14,15
PAN,12,0,0,0,6,9,10,16,0,15,0,0,0,0,0,36
PER,3,2,2,9,11,16,13,21,16,23,25,43,46,61,47,54
PHL,3,6,7,13,12,21,24,43,39,56,64,83,76,78,72,75
PLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POL,0,0,0,0,1,1,2,5,6,10,11,19,0,0,22,29
PRK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
PRT,0,0,0,1,1,2,3,7,12,22,22,35,0,0,35,0
PRY,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,43
